0.66213,0.00546,0.66215,0.03907,0
0.66064,0.00639,0.66067,0.07082,0
0.66182,0.00567,0.66185,0.03883,0
0.66171,0.00632,0.66174,0.04835,0
0.65521,0.01273,0.65533,0.07570,0
0.55916,0.03755,0.56042,0.16728,0
0.41534,0.04671,0.41796,0.18437,0
0.25280,0.04312,0.25645,0.22027,0
0.12470,0.02747,0.12769,0.11062,0
0.06673,0.01368,0.06811,0.07448,0
0.04723,0.00685,0.04773,0.06105,0
0.07209,0.01722,0.07411,0.07643,0
0.15260,0.03119,0.15576,0.11966,0
0.55690,0.00325,0.55691,0.02515,0
0.55662,0.00429,0.55663,0.03810,0
0.55648,0.00386,0.55649,0.03028,0
0.55670,0.00384,0.55671,0.02613,0
0.55655,0.00394,0.55657,0.03541,0
0.55713,0.00353,0.55714,0.02344,0
0.55739,0.00350,0.55740,0.01856,0
0.55681,0.00391,0.55683,0.03565,0
0.55692,0.00378,0.55694,0.03101,0
0.55687,0.00346,0.55688,0.02027,0
0.55660,0.00410,0.55662,0.03175,0
0.55681,0.00394,0.55682,0.02857,0
0.55682,0.00370,0.55683,0.02149,0
0.55653,0.00363,0.55655,0.03443,0
0.55690,0.00391,0.55691,0.02466,0
0.55650,0.00354,0.55651,0.02930,0
0.55708,0.00402,0.55709,0.03468,0
0.55709,0.00416,0.55711,0.03687,0
0.55658,0.00356,0.55659,0.02149,0
0.55656,0.00364,0.55657,0.02686,0
0.55700,0.00430,0.55702,0.04078,0
0.55672,0.00364,0.55674,0.02149,0
0.55657,0.00350,0.55658,0.02784,0
0.55685,0.00404,0.55686,0.04151,0
0.55726,0.00354,0.55727,0.03346,0
0.55674,0.00352,0.55675,0.02100,0
0.55692,0.00402,0.55694,0.03419,0
0.55709,0.00382,0.55711,0.03004,0
0.55720,0.00471,0.55722,0.05055,0
0.55743,0.00422,0.55745,0.03810,0
0.55757,0.00407,0.55758,0.03223,0
0.55746,0.00366,0.55747,0.02393,0
0.55740,0.00366,0.55742,0.02979,0
0.55737,0.00369,0.55739,0.02173,0
0.55723,0.00466,0.55725,0.03590,0
0.55752,0.00507,0.55755,0.04298,0
0.55725,0.00536,0.55727,0.04347,0
0.55574,0.00603,0.55578,0.03150,0
0.55188,0.00977,0.55196,0.06276,0
0.48719,0.03325,0.48832,0.15971,0
0.34412,0.03806,0.34622,0.15165,0
0.52708,0.01488,0.52729,0.08303,0
0.56023,0.01070,0.56033,0.05763,0
0.57147,0.00809,0.57153,0.05617,0
0.57149,0.00603,0.57152,0.03907,0
0.57136,0.00723,0.57140,0.05177,0
0.57187,0.00769,0.57192,0.05372,0
0.57271,0.00846,0.57277,0.06642,0
0.57110,0.00766,0.57115,0.04567,0
0.57135,0.00746,0.57139,0.05665,0
0.57162,0.00821,0.57168,0.05250,0
0.57147,0.00719,0.57151,0.04933,0
0.57274,0.00799,0.57280,0.05421,0
0.57111,0.00915,0.57118,0.06496,0
0.57274,0.00808,0.57280,0.05177,0
0.57255,0.00801,0.57261,0.05739,0
0.57314,0.00865,0.57321,0.06593,0
0.57239,0.00787,0.57244,0.03834,0
0.57209,0.00773,0.57214,0.05885,0
0.57147,0.00852,0.57153,0.06520,0
0.57173,0.00783,0.57178,0.04835,0
0.57203,0.00835,0.57209,0.04371,0
0.57170,0.00878,0.57177,0.05446,0
0.52742,0.03508,0.52859,0.12552,0
0.40097,0.03212,0.40226,0.14725,0
0.32852,0.01572,0.32889,0.07985,0
0.26726,0.02542,0.26847,0.10940,0
0.17020,0.03129,0.17305,0.15385,0
0.07916,0.01890,0.08138,0.09426,0
0.04391,0.00964,0.04496,0.05861,0
0.02160,0.00644,0.02254,0.04933,0
0.03342,0.01341,0.03601,0.07277,0
0.13711,0.04966,0.14583,0.18632,0
0.34042,0.05864,0.34543,0.22271,0
0.50753,0.04316,0.50936,0.17460,0
0.62011,0.02213,0.62050,0.10549,0
0.65472,0.00629,0.65475,0.04957,0
0.65700,0.00639,0.65703,0.05470,0
0.65707,0.00673,0.65711,0.06374,0
0.65471,0.00660,0.65474,0.04664,0
0.63169,0.01442,0.63186,0.08034,0
0.57304,0.02301,0.57350,0.10916,0
0.47574,0.03412,0.47696,0.14310,0
0.36344,0.03319,0.36495,0.13138,0
